Rank,Gender,Forename,Incidence,Frequency
785,F,Đurđa,843,1:8477
786,M,Sretko,842,1:8487
787,F,Džemilje,841,1:8497
787,F,Živodarka,841,1:8497
789,F,Atnan,839,1:8517
789,F,Fatos,839,1:8517
789,F,Mirsije,839,1:8517
789,F,Sevder,839,1:8517
793,M,Ahmet,835,1:8558
793,F,Miroslavka,835,1:8558
795,F,Jana,834,1:8568
796,M,Stamenko,832,1:8589
797,F,Stojka,823,1:8683
798,F,Remzija,820,1:8714
799,F,Kaja,818,1:8736
800,M,Mikloš,817,1:8746
801,M,Hasan,816,1:8757
802,M,Enes,814,1:8779
803,F,Mane,810,1:8822
804,M,Milanče,804,1:8888
805,M,Avni,803,1:8899
805,F,Lena,803,1:8899
807,M,Vukoman,802,1:8910
808,F,Blaženka,800,1:8932
809,M,Jozef,797,1:8966
809,F,Vezira,797,1:8966
811,F,Amalija,795,1:8988
812,M,Vilmoš,790,1:9045
813,M,Rasim,788,1:9068
814,M,Maćaš,787,1:9080
814,F,Tatijana,787,1:9080
816,M,Vlatko,786,1:9091
817,F,Aida,785,1:9103
817,F,Raša,785,1:9103
819,F,Jagodinka,783,1:9126
819,M,Žolt,783,1:9126
821,F,Soka,781,1:9149
822,M,Dragojle,778,1:9185
823,M,Nedžad,776,1:9208
823,F,Senka,776,1:9208
825,M,Njegoš,773,1:9244
826,M,Arsenije,772,1:9256
826,M,Matija,772,1:9256
828,M,Fadil,770,1:9280
829,F,Izabela,763,1:9365
830,F,Krstina,759,1:9415
830,F,Spasa,759,1:9415
